Project ID,Title,Field,Content (excerpt),Quality Score
ui_4,Datasets for transportation impact evaluation,how_to_use,"This resource provides valuable datasets and tools for evaluating transportation impacts, particularly in urban settings like Bogotá. Here’s a practical guide for development practitioners and innovat",84
ui_5,Quantifying Colombian mangroves aboveground biomass and carbon content,model_characteristics,"This project focuses on measuring the amount of biomass and carbon stored in Colombian mangroves, specifically in the Vía Parque Isla de Salamanca National Natural Park. It provides an open-access dat",100
ui_6,"Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
",data_characteristics,"The Africa Biomass dataset is designed to help monitor forest biomass, particularly in cocoa plantations in Côte d'Ivoire. It contains data collected from 263 plots across various regions in Côte d'Iv",100
ui_6,"Detectinging forest degradation by predicting biomass in cocoa plantations in Cote d'Ivoire
",model_characteristics,"The AI model developed from the Africa Biomass dataset helps monitor changes in forest biomass, particularly in cocoa plantations in Côte d'Ivoire. In simple terms, it uses satellite images and ground",100
ui_8,Using local-language AI advise women in DRC on land ownership - Haki des femmes,data_characteristics,Haki des femmes is an application designed to empower women in the Katanga and Lualaba provinces of the Democratic Republic of Congo by providing them with access to legal information regarding land o,93
ui_8,Using local-language AI advise women in DRC on land ownership - Haki des femmes,model_characteristics,Haki des femmes is an application designed to empower women in the Katanga and Lualaba provinces of the Democratic Republic of Congo by providing them with essential legal information about land owner,93
ui_8,Using local-language AI advise women in DRC on land ownership - Haki des femmes,how_to_use,Haki des femmes is an innovative application designed to empower women in the Democratic Republic of Congo (DRC) by providing them with essential legal information regarding land ownership and rights.,93
ui_10,"Monitoring the impact of palm oil monoculture, shrimp aquaculture & mining in continental Ecuador and the Galapagos using AI",model_characteristics,"The project focuses on using artificial intelligence to monitor the environmental impact of palm oil monoculture, shrimp aquaculture, and mining activities in Ecuador and the Galapagos Islands. In sim",100
ui_12,AI-powered detection of diseases for Cashew farmers in Ghana,model_characteristics,"The Cashew Disease Identification (CADI AI) application is designed to help small-holder cashew farmers in Ghana detect diseases in their crops early. By using artificial intelligence, the application",100
ui_12,AI-powered detection of diseases for Cashew farmers in Ghana,how_to_use,"The Cashew Disease Identification (CADI AI) dataset is a valuable resource for small-holder farmers in Ghana, aiming to enhance the early detection of diseases in cashew plantations. Here’s a practica",100
ui_13,"Supporting food security and climate change adaptation: AI-powered crop disease identification for maize, tomatoes, pepper in Ghana",data_characteristics,"The Crop Disease dataset focuses on identifying diseases in maize, tomatoes, and peppers in Ghana. It contains images of various crop diseases collected from 10 districts in the Ashanti Region. The da",100
ui_13,"Supporting food security and climate change adaptation: AI-powered crop disease identification for maize, tomatoes, pepper in Ghana",model_characteristics,"The AI-powered application for crop disease identification focuses on helping farmers in Ghana detect diseases in maize, tomatoes, and peppers. It uses images of the crops to identify signs of disease",100
ui_13,"Supporting food security and climate change adaptation: AI-powered crop disease identification for maize, tomatoes, pepper in Ghana",how_to_use,The Crop Disease dataset from Ghana provides a valuable resource for addressing food security and climate change adaptation through AI-powered crop disease identification. Here’s a practical guide for,100
ui_15,Discover Ghanaian Voices: A Dataset for AI & Linguistic Research in Ghanaian accented English.,data_characteristics,The Accent Classification Dataset (Ghana) is a collection of audio recordings featuring native and non-native English speakers from various regions of Ghana. The dataset includes recordings of partici,100
ui_15,Discover Ghanaian Voices: A Dataset for AI & Linguistic Research in Ghanaian accented English.,model_characteristics,The Discover Ghanaian Voices project provides a dataset that helps in understanding and analyzing the different accents of English spoken in Ghana. This dataset includes audio recordings of both nativ,100
ui_15,Discover Ghanaian Voices: A Dataset for AI & Linguistic Research in Ghanaian accented English.,how_to_use,"The ""Discover Ghanaian Voices"" dataset is a valuable resource for anyone interested in understanding and utilizing Ghanaian accented English. Here’s a practical guide on how to leverage this dataset e",100
ui_16,Mapping Cocoa Landscapes in Ghana: Reference Data for Tracking Land Use Change,model_characteristics,"The ""Mapping Cocoa Landscapes in Ghana"" project provides a dataset designed to improve the accuracy of land use and land cover change mapping in Ghana's cocoa production areas. This dataset is essenti",100
ui_17,Explore the Agrivoltaic Dataset: Dive into real data comparing harvests under solar panels and open-sun farming.,data_characteristics,The Agrivoltaic Dataset provides valuable insights into the performance of farming under solar panels compared to traditional open-sun farming. This dataset is particularly useful for development prac,96
ui_17,Explore the Agrivoltaic Dataset: Dive into real data comparing harvests under solar panels and open-sun farming.,model_characteristics,"The Agrivoltaic Dataset provides valuable information about farming practices that combine agriculture with solar energy production. In simple terms, it compares how crops grow under solar panels vers",96
ui_17,Explore the Agrivoltaic Dataset: Dive into real data comparing harvests under solar panels and open-sun farming.,how_to_use,The Agrivoltaic Dataset from Ghana provides valuable insights into the effectiveness of combining solar energy generation with agricultural practices. Here’s a practical guide for development practiti,96
ui_18,Phenological Dataset for Ecological Forecasting (PheDEF Project),model_characteristics,The Phenological Dataset for Ecological Forecasting (PheDEF Project) provides valuable information about the timing of plant life cycle events in tropical forests. This dataset helps monitor how clima,100
ui_18,Phenological Dataset for Ecological Forecasting (PheDEF Project),how_to_use,The Phenological Dataset for Ecological Forecasting (PheDEF Project) provides valuable data for understanding the timing of plant life cycle events in tropical forests. This information is crucial for,100
ui_19,"Enable Cashew, Cocoa and Coffee farmers to make good business decisions - Drone-based Agricultural Dataset for Crop Yield Estimation in Ghana and Uganda",data_characteristics,"This dataset is designed to help farmers in Ghana and Uganda make informed decisions about cashew, cocoa, and coffee production. It contains 14,870 drone images with detailed annotations, which can be",100
ui_19,"Enable Cashew, Cocoa and Coffee farmers to make good business decisions - Drone-based Agricultural Dataset for Crop Yield Estimation in Ghana and Uganda",model_characteristics,"The Drone-based Agricultural Dataset for Crop Yield Estimation is designed to help farmers in Ghana and Uganda make informed decisions about their cashew, cocoa, and coffee crops. This dataset contain",100
ui_19,"Enable Cashew, Cocoa and Coffee farmers to make good business decisions - Drone-based Agricultural Dataset for Crop Yield Estimation in Ghana and Uganda",how_to_use,"The Drone-based Agricultural Dataset for Crop Yield Estimation provides a valuable resource for farmers, researchers, and organizations focused on improving agricultural practices in Ghana and Uganda.",100
ui_21,Imarika - Translating weather information into actionable advisory for farmers through AI in Kenya,data_characteristics,"IMARIKA is a project by Strathmore University’s iLabAfrica that focuses on providing accurate, local weather information to farmers in rural Kenya. The dataset generated through this project is design",93
ui_21,Imarika - Translating weather information into actionable advisory for farmers through AI in Kenya,model_characteristics,IMARIKA is a project developed by Strathmore University’s iLabAfrica that aims to improve the way farmers in rural Kenya access weather information. It does this by creating low-cost automatic weather,93
ui_23,Combatting Air Pollution and GHG Emissions in India through hyperlocal AI-powered mapping,how_to_use,The Combatting Air Pollution and GHG Emissions project in India offers valuable resources and tools for addressing air quality issues through hyperlocal data collection and analysis. Here’s a practica,96
ui_37,"Building inclusive voice technologies in the 3 Indonesian Languages Balinese, Bugis and Minangkabau through open language datasets",model_characteristics,"The project focuses on developing voice technologies for three Indonesian languages: Balinese, Bugis, and Minangkabau. It aims to create AI models that can understand and generate dialogue in these la",100
ui_38,"Empowering coastal inhabitants in Indonesia: leveraging AI, community-based approaches and local Weather measurements for enhanced climate adaptation and a thriving “blue economy”",data_characteristics,"This dataset, known as Weather Data, is a collection of environmental condition records from monitoring points in Balai Silvofishery Maros Regency, South Sulawesi, and Pulo Aceh, Aceh Province, Indone",88
ui_39,Mitigating the impacts of oil palm cultivation on forests and climate change in Indonesia through AI and social forestry,data_characteristics,This dataset focuses on understanding and mitigating the impacts of oil palm cultivation on forests and climate change in Indonesia. It includes high-quality spatial reference data sets that are desig,86
ui_39,Mitigating the impacts of oil palm cultivation on forests and climate change in Indonesia through AI and social forestry,model_characteristics,"The project focuses on using artificial intelligence (AI) to improve the mapping of forest cover in Indonesia, particularly in areas affected by oil palm cultivation. In simple terms, the AI applicati",86
ui_44,"Enabling machine translation from Kiswahili into the indigenous Kenyan languages Kidaw'ida, Kalenjin, and Dholuo, preserving these languages & supporting crowd-sourced voice recognition via Mozilla Common Voice for these languages",model_characteristics,"The project focuses on creating a dataset that helps translate Kiswahili, Kenya's national language, into three indigenous languages: Kidaw'ida, Kalenjin, and Dholuo. This is important because these l",100
